,artist(s),track,market,release date,danceability,energy,loudness,mode,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,language,languages,lang 1,lang 2,lang 3
134,"Djadja & Dinaz, SRNO",BB,fr,1/14/21,0.421,0.747,-6.211,0,0.354,0.137,0.00251,0.549,0.449,155.637,201611,4,fr,"['fr', 'ht', 'es']",0.820512821,0.153846154,0.025641026
135,"Landy, Niska",Millions d'euros,fr,1/14/21,0.611,0.603,-7.819,0,0.498,0.428,0.0,0.0657,0.397,119.559,159133,5,fr,"['fr', 'en']",0.956521739,0.043478261,0.0
136,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,fr,1/14/21,0.641,0.922,-4.457,1,0.0291,0.0786,0.0,0.0862,0.847,146.078,258343,4,en,['en'],1.0,0.0,0.0
137,SCH,Euro,fr,1/14/21,0.296,0.669,-5.364,0,0.03,0.0452,0.831,0.154,0.679,74.692,305947,4,fr,"['fr', 'en', 'it']",0.885714286,0.057142857,0.057142857
138,Lomepal,Trop beau,fr,1/14/21,0.796,0.684,-8.948,0,0.319,0.214,0.00136,0.109,0.149,119.996,284000,4,fr,['fr'],1.0,0.0,0.0
139,Ninho,Zipette,fr,1/14/21,0.743,0.757,-6.889,0,0.371,0.272,0.0,0.0988,0.72,192.018,211263,3,fr,"['fr', 'es']",0.971428571,0.028571429,0.0
140,UZI,Coeur abîmé,fr,1/14/21,0.723,0.53,-6.308,1,0.0416,0.0554,0.0,0.192,0.341,99.057,161173,3,fr,"['fr', 'en', 'es']",0.605042017,0.182773109,0.021008403
141,"Naps, Jul",Sans limites,fr,1/14/21,0.762,0.861,-5.03,0,0.126,0.0417,0.0,0.0985,0.446,139.971,209987,4,fr,"['fr', 'ca', 'ceb']",0.96,0.02,0.02
142,"Ofenbach, Quarterhead",Head Shoulders Knees & Toes (feat. Norma Jean Martine),fr,1/14/21,0.798,0.828,-5.36,1,0.0247,0.193,2.55e-06,0.121,0.6,124.962,156960,4,en,['en'],1.0,0.0,0.0
143,Rim'K,Cosmos - feat. PLK,fr,1/14/21,0.912,0.506,-9.284,1,0.281,0.229,0.000253,0.163,0.628,135.016,183187,4,fr,"['fr', 'ar']",0.969230769,0.030769231,0.0
144,Olivia Rodrigo,deja vu,fr,1/14/21,0.439,0.61,-7.236,1,0.593,0.116,1.07e-05,0.341,0.172,181.088,215508,4,en,"['en', 'fr']",0.820512821,0.179487179,0.0
145,Djadja & Dinaz,Essayez,fr,1/14/21,0.594,0.545,-7.397,0,0.328,0.0364,3.49e-06,0.189,0.335,152.155,177533,4,fr,['fr'],1.0,0.0,0.0
146,"Maes, Booba",Blanche,fr,1/14/21,0.776,0.713,-6.121,0,0.525,0.143,0.0,0.306,0.551,127.987,193453,4,fr,"['fr', 'en', 'it']",0.857142857,0.12244898,0.020408163
147,Cardi B,Up,fr,1/14/21,0.868,0.795,-6.044,1,0.0012,0.269,0.0193,0.0461,0.819,166.0,156945,4,en,['en'],1.0,0.0,0.0
148,SCH,Aluminium,fr,1/14/21,0.911,0.493,-9.145,1,0.198,0.0729,0.00211,0.102,0.342,124.999,174933,4,fr,"['fr', 'en', 'sv']",0.848484848,0.060606061,0.060606061
149,Booba,GP,fr,1/14/21,0.809,0.684,-3.578,0,0.282,0.273,1.44e-06,0.241,0.857,85.009,274060,4,fr,"['fr', 'en', 'es']",0.9,0.033333333,0.033333333
150,"P!nk, Willow Sage Hart",Cover Me In Sunshine,fr,1/14/21,0.476,0.594,-6.879,1,0.0599,0.135,0.0,0.0785,0.314,159.702,141050,4,en,"['en', 'es', 'tl']",0.88,0.03,0.02
151,Sadek,Aller-retour,fr,1/14/21,0.804,0.575,-7.381,0,0.704,0.086,0.0,0.0872,0.663,136.056,163080,4,fr,"['fr', 'en']",0.909090909,0.090909091,0.0
152,Djadja & Dinaz,Perdu,fr,1/14/21,0.568,0.595,-6.23,0,0.000924,0.148,0.0,0.079,0.346,145.782,225547,4,fr,['fr'],1.0,0.0,0.0
153,Joel Corry,Head & Heart (feat. MNEK),fr,1/14/21,0.808,0.639,-7.266,0,0.0802,0.279,0.0,0.15,0.395,118.0,144349,4,en,"['en', 'tr', 'ha']",0.647058824,0.294117647,0.039215686
154,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),fr,1/14/21,0.823,0.586,-6.606,0,0.114,0.2,0.0,0.193,0.347,125.971,190476,4,en,"['en', 'pt']",0.982758621,0.017241379,0.0
155,Purple Disco Machine,Fireworks (feat. Moss Kena & The Knocks),fr,1/14/21,0.753,0.793,-5.278,0,0.0073,0.0426,3.36e-06,0.154,0.787,118.03,200016,4,en,['en'],1.0,0.0,0.0
156,"Landy, Ninho",Enfants terribles,fr,1/14/21,0.846,0.559,-7.725,0,0.534,0.365,0.0,0.131,0.668,129.956,181773,4,fr,"['fr', 'en', 'ar']",0.857142857,0.107142857,0.017857143
157,Damso,Θ. Macarena,fr,1/14/21,0.777,0.554,-8.179,1,0.182,0.0572,1.7e-06,0.0477,0.27,129.933,206840,4,fr,"['fr', 'es', 'en']",0.857142857,0.081632653,0.06122449
158,"Vitaa, Slimane",Avant toi,fr,1/14/21,0.63,0.396,-9.162,1,0.875,0.0334,0.0,0.1,0.246,142.046,223800,4,fr,['fr'],1.0,0.0,0.0
159,Clara Luciani,Le reste,fr,1/14/21,0.61,0.746,-6.318,0,0.315,0.0564,0.0,0.753,0.693,112.969,218800,4,fr,['fr'],1.0,0.0,0.0
160,SCH,Mafia,fr,1/14/21,0.627,0.822,-5.909,1,0.0164,0.249,0.0,0.121,0.538,80.02,256400,4,fr,"['fr', 'co', 'en']",0.951219512,0.024390244,0.024390244
161,Aya Nakamura,Plus Jamais (feat. Stormzy),fr,1/14/21,0.605,0.419,-9.032,1,0.373,0.0342,0.0,0.128,0.291,152.161,175257,4,fr,"['fr', 'en', 'es']",0.622222222,0.244444444,0.133333333
162,ASHE 22,X3 (feat. Gazo),fr,1/14/21,0.873,0.664,-9.589,1,0.205,0.644,0.0,0.142,0.551,129.989,217208,4,fr,"['fr', 'en', 'hi']",0.810344828,0.103448276,0.034482759
163,Lynda,Si tu m'aimes 2,fr,1/14/21,0.42,0.641,-4.833,0,0.215,0.0766,0.0,0.12,0.312,82.359,214160,4,hi,"['hi', 'en', 'gu']",0.656521739,0.082608696,0.07826087
164,Lewis Capaldi,Someone You Loved,fr,1/14/21,0.501,0.405,-5.679,1,0.751,0.0319,0.0,0.105,0.446,109.891,182161,4,en,['en'],1.0,0.0,0.0
165,Djadja & Dinaz,Moi-même,fr,1/14/21,0.816,0.629,-8.457,0,0.515,0.264,0.0,0.114,0.635,139.977,209667,4,fr,"['fr', 'no', 'en']",0.910714286,0.053571429,0.035714286
166,Bosh,Djomb - Bien ou quoi,fr,1/14/21,0.945,0.676,-6.6,1,0.172,0.207,0.00036,0.322,0.631,123.109,141893,4,fr,"['fr', 'te']",0.98,0.02,0.0
167,Dadju,Amour toxic,fr,1/14/21,0.718,0.416,-8.758,1,0.796,0.0675,1.85e-06,0.0992,0.642,132.074,218481,4,fr,"['fr', 'en', 'ru']",0.928571429,0.035714286,0.017857143
168,"Dinos, Nekfeu",Moins un,fr,1/14/21,0.918,0.399,-8.795,1,0.19,0.37,0.0,0.0751,0.483,109.031,203453,4,fr,"['fr', 'ar', 'en']",0.908163265,0.051020408,0.020408163
169,Bosh,Slide,fr,1/14/21,0.827,0.469,-9.141,0,0.0807,0.341,8.12e-06,0.207,0.196,97.028,238321,4,fr,"['fr', 'hr', 'el']",0.886792453,0.075471698,0.018867925
170,"Soolking, Dadju",Meleğim,fr,1/14/21,0.682,0.697,-4.276,0,0.188,0.0757,0.0,0.334,0.57,95.012,220280,4,fr,"['fr', 'tr']",0.968253968,0.031746032,0.0
171,Damso,DEUX TOILES DE MER,fr,1/14/21,0.521,0.39,-9.726,0,0.582,0.128,7.43e-05,0.112,0.157,104.106,315640,4,fr,"['fr', 'en', 'ca']",0.912280702,0.052631579,0.01754386
172,"Damso, Hamza",BXL ZOO,fr,1/14/21,0.745,0.656,-6.829,0,0.0604,0.203,0.0,0.11,0.405,137.997,201333,4,fr,"['fr', 'en', 'ht']",0.916666667,0.041666667,0.020833333
173,Tom Odell,Another Love,fr,1/14/21,0.445,0.537,-8.532,0,0.695,0.04,1.6e-05,0.0941,0.131,122.764,244360,4,en,['en'],1.0,0.0,0.0
174,Booba,Ultra,fr,1/14/21,0.592,0.403,-8.768,0,0.62,0.414,0.0,0.54,0.391,105.169,320680,4,fr,"['fr', 'en', 'tr']",0.9,0.066666667,0.033333333
175,Boza,Hecha Pa' Mi,fr,1/14/21,0.725,0.756,-5.013,1,0.362,0.0572,0.000685,0.103,0.828,100.07,186133,4,es,"['es', 'bg', 'pt']",0.933333333,0.05,0.016666667
176,OBOY,Cruel,fr,1/14/21,0.552,0.702,-5.707,1,0.117,0.157,2.06e-05,0.105,0.564,169.994,178427,4,fr,"['fr', 'en', 'no']",0.9,0.06,0.02
177,Lucky Luke,Cooler Than Me,fr,1/14/21,0.768,0.82,-4.63,0,0.179,0.0475,0.0,0.704,0.625,129.969,213293,4,en,['en'],1.0,0.0,0.0
178,SCH,Plus rien à se dire,fr,1/14/21,0.866,0.443,-10.212,0,0.177,0.304,6.66e-06,0.127,0.162,124.957,161040,4,fr,['fr'],1.0,0.0,0.0
179,"Gradur, Heuss L'enfoir√©",Ne reviens pas,fr,1/14/21,0.932,0.778,-3.384,0,0.212,0.0638,0.0,0.168,0.933,124.996,188613,4,fr,"['fr', 'haw', 'ar']",0.920454545,0.045454545,0.011363636
180,"Lacrim, Maes",Boston George,fr,1/14/21,0.563,0.562,-7.931,0,0.196,0.247,5.02e-06,0.107,0.344,137.325,202347,5,fr,"['fr', 'en', 'es']",0.953488372,0.023255814,0.023255814
181,"Nekfeu, Nemir",Elle pleut,fr,1/14/21,0.62,0.375,-11.064,1,0.724,0.455,2.86e-06,0.125,0.226,92.641,286520,4,fr,['fr'],1.0,0.0,0.0
182,SDM,Yakalelo,fr,1/14/21,0.916,0.531,-5.936,0,0.443,0.16,2.76e-05,0.125,0.589,126.965,195520,4,fr,"['fr', 'ny', 'es']",0.780487805,0.195121951,0.024390244
183,"Toby Romeo, Felix Jaehn, FAULHABER",Where The Lights Are Low,fr,1/14/21,0.759,0.807,-5.812,0,0.448,0.122,0.0,0.105,0.62,123.904,136996,4,en,"['en', 'bg', 'es']",0.88372093,0.069767442,0.046511628
184,Djadja & Dinaz,La cage et la clef,fr,1/14/21,0.411,0.745,-7.399,0,0.552,0.465,5.73e-05,0.0604,0.352,187.424,229733,3,fr,"['fr', 'en']",0.981818182,0.018181818,0.0
185,SCH,Raisons,fr,1/14/21,0.516,0.586,-8.88,0,0.00474,0.0618,6.08e-05,0.294,0.338,92.802,170267,4,fr,"['fr', 'en']",0.96969697,0.03030303,0.0
186,"Maes, Ninho",Distant,fr,1/14/21,0.168,0.424,-26.371,1,0.00919,0.0826,0.92,0.379,0.0317,71.111,271478,3,fr,"['fr', 'ar']",0.933333333,0.066666667,0.0
187,PNL,Onizuka,fr,1/14/21,0.688,0.569,-7.007,0,0.392,0.0375,0.000175,0.12,0.359,109.041,252373,4,fr,"['fr', 'sv', 'pl']",0.685185185,0.166666667,0.148148148
188,Tate McRae,you broke me first,fr,1/14/21,0.667,0.373,-9.389,1,0.785,0.05,0.0,0.0906,0.0823,124.148,169266,4,en,['en'],1.0,0.0,0.0
189,Nekfeu,On verra,fr,1/14/21,0.575,0.58,-6.801,1,0.166,0.067,0.0,0.0781,0.324,75.2,211413,4,fr,"['fr', 'en']",0.966666667,0.033333333,0.0
190,Dua Lipa,Don't Start Now,fr,1/14/21,0.794,0.793,-4.521,0,0.0125,0.0842,0.0,0.0952,0.677,123.941,183290,4,en,['en'],1.0,0.0,0.0
191,Sasso,Napoli,fr,1/14/21,0.509,0.0304,-20.022,1,0.992,0.0528,0.956,0.114,0.212,105.546,222297,5,fr,"['fr', 'en']",0.953488372,0.046511628,0.0
192,"Nekfeu, Vanessa Paradis",Dans l'univers,fr,1/14/21,0.64,0.419,-9.962,1,0.326,0.168,0.000271,0.137,0.202,131.936,244320,4,fr,['fr'],1.0,0.0,0.0
193,Travis Scott,goosebumps,fr,1/14/21,0.841,0.728,-3.37,1,0.0847,0.0484,0.0,0.149,0.43,130.049,243837,4,en,"['en', 'und']",0.985915493,0.014084507,0.0
194,47ter,Côte Ouest,fr,1/14/21,0.771,0.594,-7.961,1,0.501,0.0945,0.0,0.181,0.581,152.039,233280,4,fr,['fr'],1.0,0.0,0.0
195,Polo G,RAPSTAR,us,1/14/21,0.789,0.536,-6.862,1,0.41,0.242,0.0,0.129,0.437,81.039,165926,4,en,"['en', 'fr']",0.820512821,0.179487179,0.0
196,Taylor Swift,Mr. Perfectly Fine (Taylor‚Äôs Version) (From The Vault),us,1/14/21,0.661,0.819,-6.269,0,0.167,0.0519,0.0,0.0647,0.724,135.937,277592,4,en,"['en', 'ig']",0.972222222,0.027777778,0.0
197,SZA,Good Days,us,1/14/21,0.436,0.655,-8.37,0,0.499,0.0583,8.1e-06,0.688,0.412,121.002,279204,4,en,"['en', 'tl', 'tr']",0.975,0.0125,0.0125
198,Glass Animals,Heat Waves,us,1/14/21,0.761,0.525,-6.9,1,0.44,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4,en,['en'],1.0,0.0,0.0
199,Saweetie,Best Friend (feat. Doja Cat),us,1/14/21,0.84,0.766,-4.12,1,0.00302,0.136,3.61e-06,0.0684,0.402,94.018,155884,4,en,['en'],1.0,0.0,0.0
200,Drake,Wants and Needs (feat. Lil Baby),us,1/14/21,0.578,0.449,-6.349,1,0.0618,0.286,2.17e-06,0.119,0.1,136.006,192956,4,en,['en'],1.0,0.0,0.0
201,Pooh Shiesty,Back In Blood (feat. Lil Durk),us,1/14/21,0.759,0.538,-8.256,0,0.151,0.384,0.0,0.126,0.831,146.933,184490,4,en,['en'],1.0,0.0,0.0
202,Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),us,1/14/21,0.808,0.639,-7.266,0,0.0802,0.279,0.0,0.15,0.395,118.0,144349,4,en,"['en', 'tl', 'de']",0.838709677,0.096774194,0.032258065
203,Justin Bieber,Hold On,us,1/14/21,0.658,0.634,-5.797,0,0.0106,0.0413,0.0,0.132,0.29,139.98,170813,4,en,"['en', 'no']",0.913043478,0.086956522,0.0
204,Polo G,Martin & Gina,us,1/14/21,0.832,0.534,-7.813,0,0.345,0.253,0.0,0.165,0.116,93.924,132833,4,en,['en'],1.0,0.0,0.0
205,Lil Baby,On Me,us,1/14/21,0.856,0.564,-6.295,0,0.00327,0.392,0.0,0.134,0.483,77.972,135960,4,en,['en'],1.0,0.0,0.0
206,Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),us,1/14/21,0.88,0.575,-6.091,1,0.415,0.163,0.0,0.109,0.671,120.031,232048,4,en,['en'],1.0,0.0,0.0
207,The Neighbourhood,Sweater Weather,us,1/14/21,0.612,0.807,-2.81,1,0.0495,0.0336,0.0177,0.101,0.398,124.053,240400,4,en,"['en', 'es']",0.982758621,0.017241379,0.0
208,Demi Lovato,Met Him Last Night (feat. Ariana Grande),us,1/14/21,0.538,0.512,-4.548,0,0.22,0.0262,0.0,0.101,0.12,144.978,204632,4,en,['en'],1.0,0.0,0.0
209,Rod Wave,Richer (feat. Polo G),us,1/14/21,0.726,0.411,-12.929,1,0.438,0.0671,0.0,0.087,0.734,137.905,190459,3,en,['en'],1.0,0.0,0.0
210,Machine Gun Kelly,my ex's best friend (with blackbear),us,1/14/21,0.731,0.675,-5.134,0,0.00473,0.0434,0.0,0.141,0.298,124.939,139461,4,en,"['en', 'tr']",0.971428571,0.028571429,0.0
211,Taylor Swift,Love Story (Taylor‚Äôs Version),us,1/14/21,0.627,0.792,-4.311,1,0.13,0.031,3.97e-06,0.0845,0.415,119.054,235767,4,en,['en'],1.0,0.0,0.0
212,SpotemGottem,Beat Box 3 (feat. DaBaby),us,1/14/21,0.853,0.426,-6.812,1,0.0765,0.374,0.0,0.104,0.201,160.051,200424,4,en,['en'],1.0,0.0,0.0
213,Beach Bunny,Cloud 9,us,1/14/21,0.637,0.929,-3.593,1,0.00167,0.0491,2.62e-05,0.344,0.902,80.974,147351,4,en,['en'],1.0,0.0,0.0
214,Drake,Laugh Now Cry Later (feat. Lil Durk),us,1/14/21,0.761,0.518,-8.871,1,0.244,0.134,3.47e-05,0.107,0.522,133.976,261493,4,en,['en'],1.0,0.0,0.0
215,Justin Bieber,Anyone,us,1/14/21,0.686,0.538,-8.026,1,0.181,0.0345,3.13e-06,0.113,0.584,115.884,190779,4,en,['en'],1.0,0.0,0.0
216,Cardi B,WAP (feat. Megan Thee Stallion),us,1/14/21,0.935,0.454,-7.509,1,0.0194,0.375,0.0,0.0824,0.357,133.073,187541,4,en,['en'],1.0,0.0,0.0
217,Justin Bieber,As I Am (feat. Khalid),us,1/14/21,0.595,0.543,-8.149,1,0.127,0.038,0.0,0.0975,0.109,99.928,174406,4,en,['en'],1.0,0.0,0.0
218,Ariana Grande,34+35,us,1/14/21,0.83,0.585,-6.476,1,0.237,0.094,0.0,0.248,0.485,109.978,173711,4,en,"['en', 'da']",0.985294118,0.014705882,0.0
219,42 Dugg,4 Da Gang (with Roddy Ricch),us,1/14/21,0.871,0.545,-10.489,1,0.0143,0.189,0.0,0.148,0.722,100.482,155720,4,en,['en'],1.0,0.0,0.0
220,Juice WRLD,All Girls Are The Same,us,1/14/21,0.671,0.529,-7.226,1,0.0769,0.307,0.000335,0.0856,0.203,161.989,165820,4,en,"['en', 'so']",0.972222222,0.027777778,0.0
221,Justin Bieber,Holy (feat. Chance The Rapper),us,1/14/21,0.673,0.704,-8.056,1,0.196,0.36,0.0,0.0898,0.372,86.919,212093,4,en,"['en', 'st']",0.983870968,0.016129032,0.0
222,Twenty One Pilots,Shy Away,us,1/14/21,0.588,0.856,-5.242,0,0.000818,0.0316,0.0739,0.238,0.635,96.966,175044,4,en,['en'],1.0,0.0,0.0
223,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,us,1/14/21,0.76,0.479,-5.574,1,0.556,0.0466,0.0,0.0703,0.913,89.911,158040,4,en,['en'],1.0,0.0,0.0
224,Ariana Grande,positions,us,1/14/21,0.737,0.802,-4.771,1,0.468,0.0878,0.0,0.0931,0.682,144.015,172325,4,en,['en'],1.0,0.0,0.0
225,Moneybagg Yo,Time Today,us,1/14/21,0.909,0.617,-7.736,1,0.044,0.401,0.0,0.233,0.301,136.924,136939,4,en,['en'],1.0,0.0,0.0
226,Post Malone,Circles,us,1/14/21,0.695,0.762,-3.497,1,0.192,0.0395,0.00244,0.0863,0.553,120.042,215280,4,en,['en'],1.0,0.0,0.0
227,"Bad Bunny, ROSAL√çA",LA NOCHE DE ANOCHE,us,1/14/21,0.856,0.618,-4.892,1,0.0303,0.286,0.0,0.0866,0.391,81.993,203201,4,es,"['es', 'lt', 'ar']",0.940298507,0.044776119,0.014925373
228,Juice WRLD,Wishing Well,us,1/14/21,0.65,0.613,-6.13,0,0.00336,0.128,0.0,0.267,0.0804,149.972,194621,4,en,['en'],1.0,0.0,0.0
229,Juice WRLD,Come & Go (with Marshmello),us,1/14/21,0.625,0.814,-5.181,1,0.0172,0.0657,0.0,0.158,0.535,144.991,205485,4,en,['en'],1.0,0.0,0.0
230,Juice WRLD,Lucid Dreams,us,1/14/21,0.511,0.566,-7.23,0,0.349,0.2,0.0,0.34,0.218,83.903,239836,4,en,"['en', 'es']",0.943661972,0.056338028,0.0
231,Jack Harlow,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",us,1/14/21,0.923,0.604,-6.671,0,0.017,0.245,0.0,0.272,0.826,145.062,139741,4,en,"['en', 'da', 'ja']",0.96350365,0.02189781,0.01459854
232,Billie Eilish,Therefore I Am,us,1/14/21,0.889,0.34,-7.773,0,0.218,0.0697,0.13,0.055,0.716,94.009,174321,4,en,"['en', 'fr']",0.982142857,0.017857143,0.0
233,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,us,1/14/21,0.72,0.744,-6.938,0,0.237,0.12,0.0,0.255,0.619,78.953,243773,4,en,"['en', 'jw']",0.971014493,0.028985507,0.0
234,Bruno Mars,Talking to the Moon,us,1/14/21,0.523,0.606,-4.754,0,0.512,0.0301,0.0,0.106,0.065,145.837,217867,4,en,['en'],1.0,0.0,0.0
235,Rod Wave,Tombstone,us,1/14/21,0.55,0.637,-5.212,1,0.597,0.163,0.0,0.129,0.535,84.448,160078,4,en,['en'],1.0,0.0,0.0
236,"Los Legendarios, Wisin, Jhay Cortez",Fiel,us,1/14/21,0.849,0.701,-4.407,0,0.407,0.06,0.0,0.112,0.505,98.005,261667,4,es,"['es', 'tl', 'en']",0.9375,0.0375,0.0125
237,Dua Lipa,We're Good,us,1/14/21,0.722,0.588,-5.932,1,0.0319,0.0544,0.0,0.183,0.59,134.01,165507,4,en,['en'],1.0,0.0,0.0
238,J. Cole,No Role Modelz,us,1/14/21,0.692,0.521,-8.465,0,0.301,0.33,0.0,0.0565,0.463,100.45,292987,4,en,['en'],1.0,0.0,0.0
239,Luke Combs,Forever After All,us,1/14/21,0.487,0.65,-5.195,1,0.191,0.0253,0.0,0.0933,0.456,151.964,232533,4,en,['en'],1.0,0.0,0.0
240,Taylor Swift,You All Over Me (feat. Maren Morris) (Taylor‚Äôs Version) (From The Vault),us,1/14/21,0.599,0.494,-7.61,1,0.816,0.0372,0.0,0.101,0.44,142.893,220839,4,en,['en'],1.0,0.0,0.0
241,Lil Mosey,Blueberry Faygo,us,1/14/21,0.774,0.554,-7.909,1,0.207,0.0383,0.0,0.132,0.349,99.034,162547,4,en,['en'],1.0,0.0,0.0
242,Polo G,21,us,1/14/21,0.783,0.479,-10.646,1,0.149,0.541,0.0,0.101,0.533,176.027,163798,4,en,['en'],1.0,0.0,0.0
243,AJR,Bang!,us,1/14/21,0.74,0.516,-6.233,0,0.0183,0.0507,0.0,0.0558,0.698,139.918,170858,4,en,"['en', 'vi', 'nl']",0.84375,0.125,0.03125
244,"J Balvin, Khalid",Otra Noche Sin Ti,us,1/14/21,0.503,0.548,-7.564,0,0.0751,0.164,0.000234,0.145,0.441,94.036,228920,4,es,"['es', 'en', 'it']",0.586206897,0.396551724,0.017241379
245,Fleetwood Mac,Dreams - 2004 Remaster,us,1/14/21,0.828,0.492,-9.744,1,0.0644,0.0276,0.00428,0.128,0.789,120.151,257800,4,en,"['en', 'fr', 'sq']",0.97826087,0.010869565,0.010869565
246,Juice WRLD,Robbery,us,1/14/21,0.685,0.692,-5.122,1,0.328,0.0457,0.0,0.153,0.578,159.966,240051,5,en,['en'],1.0,0.0,0.0
247,Conan Gray,Heather,us,1/14/21,0.357,0.425,-7.301,1,0.584,0.0333,0.0,0.322,0.27,102.078,198040,3,en,['en'],1.0,0.0,0.0
248,Morgan Wallen,Wasted On You,us,1/14/21,0.505,0.657,-5.24,0,0.373,0.0318,0.00107,0.126,0.252,196.0,178520,3,en,['en'],1.0,0.0,0.0
249,The Neighbourhood,Daddy Issues,us,1/14/21,0.588,0.521,-9.461,1,0.0678,0.0329,0.149,0.123,0.337,85.012,260173,4,en,['en'],1.0,0.0,0.0
250,Roddy Ricch,The Box,us,1/14/21,0.896,0.586,-6.687,0,0.104,0.0559,0.0,0.79,0.642,116.971,196653,4,en,['en'],1.0,0.0,0.0
251,Taylor Swift,Fearless (Taylor’s Version),us,1/14/21,0.569,0.741,-4.963,1,0.0122,0.0282,0.0,0.333,0.43,100.118,241592,4,en,['en'],1.0,0.0,0.0
252,Rod Wave,Street Runner,us,1/14/21,0.613,0.61,-8.633,0,0.211,0.246,0.000361,0.152,0.433,160.004,252021,4,en,"['en', 'fi']",0.980769231,0.019230769,0.0
253,YBN Nahmir,Opp Stoppa (feat. 21 Savage),us,1/14/21,0.829,0.343,-4.937,0,0.00734,0.102,0.0,0.179,0.312,78.035,135431,4,en,"['en', 'ar']",0.952380952,0.047619048,0.0
254,Mooski,Track Star,us,1/14/21,0.641,0.598,-5.7,0,0.381,0.324,0.0,0.0921,0.285,131.459,199706,5,en,"['en', 'fi', 'hi']",0.947368421,0.035087719,0.01754386
255,Taylor Swift,You Belong With Me (Taylor’s Version),us,1/14/21,0.632,0.773,-4.856,1,0.0623,0.0346,0.0,0.0885,0.474,130.033,231124,4,en,['en'],1.0,0.0,0.0
256,B√òRNS,Electric Love,us,1/14/21,0.611,0.797,-7.627,0,0.00543,0.0533,0.00137,0.26,0.518,120.041,218107,4,en,['en'],1.0,0.0,0.0
257,Joji,SLOW DANCING IN THE DARK,us,1/14/21,0.515,0.479,-7.458,1,0.544,0.0261,0.00598,0.191,0.284,88.964,209274,4,en,['en'],1.0,0.0,0.0
258,Future,Life Is Good (feat. Drake),us,1/14/21,0.676,0.609,-5.831,0,0.0706,0.481,0.0,0.152,0.508,142.037,237735,4,en,['en'],1.0,0.0,0.0
259,Taylor Swift,The Way I Loved You (Taylor’s Version),us,1/14/21,0.402,0.732,-4.665,1,0.0033,0.0484,0.0,0.108,0.472,161.032,243137,4,en,['en'],1.0,0.0,0.0
260,Megan Thee Stallion,Body,us,1/14/21,0.914,0.732,-6.1,0,0.0166,0.241,0.0,0.107,0.469,94.066,171067,4,en,"['en', 'pl', 'ms']",0.557377049,0.295081967,0.114754098
261,Lil Baby,Real As It Gets (feat. EST Gee),us,1/14/21,0.779,0.705,-5.891,0,0.00471,0.163,0.0,0.0971,0.196,140.005,192804,4,en,"['en', 'fy']",0.988888889,0.011111111,0.0
262,Kevin Gates,Big Gangsta,us,1/14/21,0.879,0.574,-5.602,0,0.519,0.391,8.76e-06,0.144,0.346,144.911,243463,4,en,['en'],1.0,0.0,0.0
263,Dan + Shay,Glad You Exist,us,1/14/21,0.748,0.551,-6.12,1,0.235,0.0349,0.0,0.119,0.66,103.953,144533,4,en,['en'],1.0,0.0,0.0
264,blackbear,hot girl bummer,us,1/14/21,0.782,0.559,-7.106,0,0.125,0.0767,0.0,0.385,0.685,129.992,188344,1,en,['en'],1.0,0.0,0.0
265,Ritt Momney,Put Your Records On,us,1/14/21,0.399,0.491,-10.778,0,0.0563,0.0538,0.00089,0.11,0.151,91.066,210463,4,en,['en'],1.0,0.0,0.0
266,Ashnikko,Slumber Party (feat. Princess Nokia),us,1/14/21,0.964,0.398,-8.981,0,0.00151,0.0795,3.95e-05,0.101,0.563,105.012,178405,4,en,"['en', 'tl']",0.975,0.025,0.0
267,Lil Uzi Vert,20 Min,us,1/14/21,0.773,0.75,-4.009,0,0.109,0.117,0.0,0.174,0.783,123.426,220587,4,en,['en'],1.0,0.0,0.0
268,Lewis Capaldi,Before You Go,us,1/14/21,0.459,0.575,-4.858,1,0.604,0.0573,0.0,0.0885,0.183,111.881,215107,4,en,['en'],1.0,0.0,0.0
269,The Killers,Mr. Brightside,us,1/14/21,0.356,0.924,-3.74,1,0.00101,0.0808,0.0,0.0953,0.232,148.017,222587,4,en,['en'],1.0,0.0,0.0
270,Jack Harlow,Way Out (feat. Big Sean),us,1/14/21,0.945,0.582,-8.357,0,0.114,0.0719,0.0,0.103,0.907,108.025,168906,4,en,['en'],1.0,0.0,0.0
271,Jack Harlow,Tyler Herro,us,1/14/21,0.794,0.756,-7.16,0,0.11,0.136,0.0,0.247,0.775,123.066,156498,4,en,['en'],1.0,0.0,0.0
272,XXXTENTACION,Jocelyn Flores,us,1/14/21,0.872,0.391,-9.144,0,0.469,0.242,4.13e-06,0.297,0.437,134.021,119133,4,en,['en'],1.0,0.0,0.0
